Turn,CarnivoreDeaths,HerbivoreDeaths,CarnivoresAlive,HerbivoresAlive
0,0,0,65,74
1,3,11,62,63
2,0,11,62,52
3,7,9,55,62
4,3,8,52,77
5,0,27,52,50
6,5,2,50,57
7,1,8,51,76
8,3,21,51,58
9,6,13,49,49
10,4,5,47,59
11,3,16,47,55
12,4,10,46,55
13,3,8,49,59
14,3,7,46,61
15,4,8,47,57
16,1,8,49,53
17,4,7,49,50
18,4,6,48,50
19,2,10,46,49
20,7,8,40,47
21,2,6,40,47
22,4,7,40,49
23,0,11,45,48
24,7,9,39,43
25,1,6,39,44
26,4,4,37,43
27,2,7,37,45
28,3,8,35,47
29,4,7,33,44
30,6,8,28,44
31,0,6,29,44
32,0,9,30,42
33,3,6,29,42
34,0,5,29,44
35,1,7,31,46
36,4,10,28,39
37,3,4,28,38
38,0,4,28,38
39,1,6,29,35
40,3,4,26,33
41,4,4,22,39
42,1,8,22,36
43,2,5,20,37
44,3,8,18,33
45,1,2,20,46
46,0,14,20,35
47,1,3,20,35
48,0,3,20,36
49,2,7,19,32
50,1,2,19,32
51,1,5,19,33
52,1,8,20,27
53,1,2,19,28
54,1,5,19,27
55,0,5,20,26
56,1,3,20,27
57,3,5,18,27
58,2,5,17,28
59,1,6,17,23
60,2,2,17,25
61,0,4,18,26
62,2,6,17,21
63,2,1,15,23
64,1,3,16,26
65,0,7,18,21
66,3,1,16,23
67,1,2,15,32
68,1,7,14,27
69,1,4,14,25
70,3,2,11,27
71,0,4,12,28
72,2,5,11,25
73,1,1,11,26
74,0,4,12,27
75,3,4,9,26
76,1,4,9,26
77,0,4,9,25
78,0,6,10,24
79,1,4,9,22
80,0,2,9,25
81,1,4,9,23
82,0,2,9,23
83,1,2,9,26
84,2,4,7,26
85,2,4,5,25
86,2,4,4,27
87,0,5,4,24
88,0,3,4,24
89,0,2,4,27
90,1,1,4,34
91,1,10,3,25
92,0,0,3,25
93,0,1,3,30
94,0,4,4,33
95,0,8,5,29
96,1,4,4,28
97,0,4,4,29
98,2,5,2,27
99,0,3,2,31
100,0,4,3,31
101,0,1,3,37
102,0,6,3,36
103,0,4,4,36
104,0,4,4,37
105,1,6,3,37
106,0,4,3,37
107,0,5,3,34
108,0,2,3,41
109,0,9,3,39
110,1,8,2,33
111,0,1,2,44
112,0,5,2,49
113,0,7,2,44
114,0,4,3,45
115,0,5,3,45
116,0,6,3,44
117,0,4,4,44
118,0,5,4,46
119,0,7,4,49
120,0,7,4,47
121,1,7,3,45
122,0,4,3,51
123,0,7,4,54
124,0,9,4,46
125,0,2,4,50
126,0,5,4,53
127,0,9,4,48
128,0,5,4,51
129,0,10,4,47
130,0,8,4,45
131,0,9,4,42
132,0,3,4,45
133,0,4,4,52
134,0,8,4,53
135,0,9,4,48
136,0,6,4,47
137,0,5,4,51
138,0,8,4,46
139,0,2,4,50
140,0,7,4,50
141,0,7,4,48
142,0,6,5,48
143,0,4,7,52
144,0,7,7,56
145,0,8,8,56
146,0,9,11,54
147,0,6,11,54
148,3,8,8,54
149,0,9,9,50
150,0,5,9,49
151,0,4,9,52
152,1,6,8,52
153,0,8,8,50
154,2,3,7,54
155,0,6,8,56
156,0,7,9,56
157,0,9,10,58
158,0,8,11,55
159,0,9,11,48
160,1,3,10,52
161,0,7,11,52
162,1,7,11,53
163,0,9,11,48
164,0,6,11,53
165,0,9,14,50
166,0,3,16,61
167,0,10,17,59
168,0,11,18,57
169,2,9,17,54
170,0,6,18,53
171,0,4,22,58
172,0,9,23,50
173,0,2,25,55
174,3,7,23,57
175,1,9,24,55
176,1,7,24,56
177,2,7,24,63
178,1,14,26,59
179,1,7,26,60
180,2,10,25,55
181,0,7,26,54
182,0,5,27,52
183,0,5,30,54
184,0,8,31,49
185,1,2,31,56
186,1,12,31,48
187,2,4,31,47
188,2,6,31,52
189,1,8,32,52
190,2,7,33,47
191,3,3,31,51
192,6,6,25,52
193,1,6,25,49
194,1,4,24,50
195,1,7,24,46
196,1,4,23,48
197,0,9,24,42
198,4,3,23,41
199,1,4,24,48
200,0,9,24,49
